       0    -12712.0068893588
       1    -12711.6528742047
       2    -12711.6528740870
       3    -12711.6460837842
       4    -12711.6460837194
       5    -12711.3179707180
       6    -12711.3179706956
       7    -12711.2687716971
       8    -12711.2687716871
       9    -12711.2452788479
      10    -12710.8792191199
      11    -12710.8792191047
      12    -12710.2067865364
      13    -12710.2067863325
      14    -12710.1810736631
      15    -12710.1810736520
      16    -12709.8551807337
      17    -12709.8551806098
      18    -12709.7753697278
      19    -12709.7753696296
      20    -12708.5311063707
      21    -12708.5311063476
