       0    -12712.0028495803
       1    -12711.6504303805
       2    -12711.6493095308
       3    -12711.6427371888
       4    -12711.6426645078
       5    -12711.3177535153
       6    -12711.3176589949
       7    -12711.2657985360
       8    -12711.2637804458
       9    -12711.2438163918
      10    -12710.8769690425
      11    -12710.8763025258
      12    -12710.2053130988
      13    -12710.1801061119
      14    -12710.1738815983
      15    -12710.1433252733
      16    -12710.0971884641
      17    -12710.0511248814
      18    -12710.0508942773
      19    -12709.8537278935
      20    -12709.8507822051
      21    -12709.7450951685
      22    -12709.7439195630
      23    -12709.6864049396
      24    -12709.6493800291
      25    -12709.6461514487
      26    -12709.6082465570
      27    -12709.6013607720
      28    -12709.6004143632
      29    -12708.5265805990
      30    -12708.5233151585
      31    -12708.2684182713
      32    -12708.2683685765
