       0    -12039.4851964779
       1    -12039.4851366989
       2    -12035.6376236501
       3    -12035.6371359505
       4    -12035.6360747662
       5    -12035.6358898368
       6    -12035.6357477813
       7    -12035.6256063467
       8    -12034.9947671540
       9    -12034.9929645214
      10    -12034.9908888221
      11    -12034.9879226628
      12    -12034.9876736722
      13    -12034.9835040169
      14    -12031.2473289916
      15    -12031.2472108612
      16    -12031.2251352112
      17    -12031.2236900279
      18    -12031.2214612034
      19    -12031.2175617822
      20    -12031.2174445939
      21    -12031.2172240912
      22    -12031.2150894538
      23    -12031.2123436474
      24    -12031.2108791412
