       0    -12712.0001572854
       1    -12711.6517061333
       2    -12711.6504322000
       3    -12711.6455126310
       4    -12711.6426379997
       5    -12711.3164062661
       6    -12711.2842215941
       7    -12711.2683304512
       8    -12711.2672738615
       9    -12711.2442141410
      10    -12711.2255182084
      11    -12711.2144757838
      12    -12711.2023038203
      13    -12711.1644054997
      14    -12711.1508477702
      15    -12711.1486379812
      16    -12710.8784936847
      17    -12710.8782987134
      18    -12710.8689491043
      19    -12710.8247452214
      20    -12710.2063832357
      21    -12710.1983888866
      22    -12710.1896378148
      23    -12710.1802519890
      24    -12710.1426949232
      25    -12710.0432068568
      26    -12710.0407793948
      27    -12710.0401100105
      28    -12709.9634569305
      29    -12709.9625593829
      30    -12709.9500431159
      31    -12709.9487028559
      32    -12709.8534555127
      33    -12709.8401078823
      34    -12709.8274283283
      35    -12709.8270987720
      36    -12709.7817084712
      37    -12709.7751202547
      38    -12709.7651862485
      39    -12709.7523907668
      40    -12709.7520520893
      41    -12709.7485208697
      42    -12709.7482693777
      43    -12709.7454747109
      44    -12709.7395883600
      45    -12709.7123362861
      46    -12709.6581284618
      47    -12709.6574385782
      48    -12709.6408922064
      49    -12709.6407633591
      50    -12709.6013607720
      51    -12709.5981192326
      52    -12709.5793778454
      53    -12709.5750712868
      54    -12709.5694495716
      55    -12709.5635650318
      56    -12709.5607231791
      57    -12709.5504300601
      58    -12709.5061063936
      59    -12709.5049150188
      60    -12709.5022600138
      61    -12709.4959197130
      62    -12709.4956219971
      63    -12709.3658894901
      64    -12709.3654501779
      65    -12708.6179793018
      66    -12708.6165743815
      67    -12708.5307038477
      68    -12708.5185320908
      69    -12708.3761392742
      70    -12708.3743106442
      71    -12708.3668175142
      72    -12708.2829143276
      73    -12708.2699282741
      74    -12708.2683685765
      75    -12708.1125414611
      76    -12707.9596611016
      77    -12707.9559775494
      78    -12707.5672494120
      79    -12707.5665896608
      80    -12701.5327587627
