       0    -12712.0068902563
       1    -12711.6528739327
       2    -12711.6528738143
       3    -12711.6460837977
       4    -12711.6460837898
       5    -12711.3179707518
       6    -12711.3179692476
       7    -12711.2687717008
       8    -12711.2687716763
       9    -12711.2452789335
      10    -12710.8792190223
      11    -12710.8792187704
      12    -12710.2067864940
      13    -12710.2067863588
      14    -12710.1810736960
      15    -12710.1810736669
      16    -12709.8551811897
      17    -12709.8551802487
