       0    -12712.0001572855
       1    -12711.6506470760
       2    -12711.6504846267
       3    -12711.6443851864
       4    -12711.6443504112
       5    -12711.3126915768
       6    -12711.3126481649
       7    -12711.2656164206
       8    -12711.2652717431
       9    -12711.2401900292
      10    -12710.8774477405
      11    -12710.8774125854
      12    -12710.2054820614
      13    -12710.0408668592
      14    -12710.0099812593
      15    -12709.7734247841
      16    -12709.7715566226
      17    -12709.6236256449
      18    -12709.6235344846
      19    -12708.5270560821
