       0    -12712.0000606292
       1    -12711.6515258721
       2    -12711.6489565615
       3    -12711.6456088581
       4    -12711.6401319764
       5    -12711.3158625702
       6    -12711.3144599632
       7    -12711.2683344848
       8    -12711.2682889723
       9    -12711.2448969135
      10    -12710.8780890952
      11    -12710.8774750646
      12    -12710.2053745241
      13    -12710.2046108166
      14    -12710.1800461657
      15    -12710.1795990782
      16    -12709.8540467351
      17    -12709.8494323212
      18    -12709.5789834970
